ARRIVAL_TIME,DEPARTURE_TIME,SHAPE_DIST_TRAVELED,STOP_ID,STOP_SEQUENCE,TRIP_ID,GEOMETRY_COORDINATES,STOP_NAME
7:46:00,7:46:00,15.85395,U656Z2,23,333_1115_200302,"[14.45149, 50.02318]",Sídliště Krč
7:47:00,7:47:00,16.31794,U893Z4,24,333_1115_200302,"[14.45143, 50.02735]",Zálesí
7:49:00,7:49:00,16.8708,U488Z7,25,333_1115_200302,"[14.45515, 50.03038]",Nemocnice Krč
7:53:00,7:53:00,18.23394,U228Z5,26,333_1115_200302,"[14.46033, 50.04203]",Kačerov
7:34:00,7:34:00,0.0,U1513Z2,1,331_260_200302,"[14.42259, 49.93355]",Zvole
7:35:00,7:35:00,0.7581,U6955Z2,2,331_260_200302,"[14.42772, 49.93928]","Ohrobec,Zvolská"
7:36:00,7:36:00,1.23504,U1512Z2,3,331_260_200302,"[14.43147, 49.9424]","Ohrobec,U Rybníka"
7:38:00,7:38:00,1.88757,U1506Z2,4,331_260_200302,"[14.43407, 49.94786]","Ohrobec,U Čisteckých"
7:41:00,7:41:00,3.60474,U1510Z2,5,331_260_200302,"[14.45069, 49.95853]","Dolní Břežany,Na Rovném"
7:43:00,7:43:00,4.00597,U1511Z2,6,331_260_200302,"[14.45285, 49.96176]","Dolní Břežany,Hřiště"
7:44:00,7:44:00,4.45152,U1503Z2,7,331_260_200302,"[14.45708, 49.96319]","Dolní Břežany,Obecní úřad"
7:45:00,7:45:00,4.60988,U1502Z2,8,331_260_200302,"[14.45889, 49.96373]","Dolní Břežany,Náměstí"
7:47:00,7:47:00,5.23144,U1501Z2,9,331_260_200302,"[14.46199, 49.96894]","Dolní Břežany,Na kopečku"
7:51:00,7:51:00,7.98873,U545Z2,10,331_260_200302,"[14.46853, 49.99163]",Písnice
7:52:00,7:52:00,8.36842,U546Z2,11,331_260_200302,"[14.46768, 49.99496]",Ke Březině
7:53:00,7:53:00,8.56835,U871Z2,12,331_260_200302,"[14.46765, 49.99676]",Lipovická
7:54:00,7:54:00,9.06989,U369Z2,13,331_260_200302,"[14.4666, 50.0012]",Sídliště Písnice
7:55:00,7:55:00,9.54261,U783Z2,14,331_260_200302,"[14.46417, 50.00515]",U Libušské sokolovny
7:56:00,7:56:00,9.91261,U335Z2,15,331_260_200302,"[14.46275, 50.00834]",Libuš
7:57:00,7:57:00,10.22327,U804Z2,16,331_260_200302,"[14.46015, 50.01056]",U Zvoničky
7:58:00,7:58:00,10.58214,U194Z2,17,331_260_200302,"[14.45772, 50.01337]",Jalodvorská
8:00:00,8:00:00,11.45101,U749Z2,18,331_260_200302,"[14.45197, 50.02019]",Tempo
8:01:00,8:01:00,11.78984,U656Z2,19,331_260_200302,"[14.45149, 50.02318]",Sídliště Krč
