TRIP_ID,DAY_OF_WEEK,DATE,UNICORN,STOP_ID,STOP_SEQUENCE,STOP_NAME,SHAPE_DIST_TRAVELED,DELAY
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U545Z2,3,Písnice,3.37885,56.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U546Z2,4,Ke Březině,3.75854,48.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U871Z2,5,Lipovická,3.95848,34.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U369Z2,6,Sídliště Písnice,4.46002,69.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U783Z2,7,U Libušské sokolovny,4.93273,87.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U335Z2,8,Libuš,5.30273,92.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U804Z2,9,U Zvoničky,5.6134,92.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U194Z2,10,Jalodvorská,5.9722599999999995,80.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U749Z2,11,Tempo,6.841130000000001,37.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U656Z2,12,Sídliště Krč,7.17996,60.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U893Z4,13,Zálesí,7.643960000000001,62.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U488Z7,14,Nemocnice Krč,8.196819999999999,119.0
333_636_200307,Saturday,2020-05-02,333_636_200307_02_May,U228Z5,15,Kačerov,9.55995,135.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U1502Z2,19,"Dolní Břežany,Náměstí",12.75022,124.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U1501Z2,20,"Dolní Břežany,Na kopečku",13.37178,152.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U545Z2,21,Písnice,16.129070000000002,125.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U546Z2,22,Ke Březině,16.508760000000002,116.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U871Z2,23,Lipovická,16.70869,77.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U369Z2,24,Sídliště Písnice,17.21023,113.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U783Z2,25,U Libušské sokolovny,17.68294,136.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U335Z2,26,Libuš,18.05295,153.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U804Z2,27,U Zvoničky,18.36361,153.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U194Z2,28,Jalodvorská,18.722479999999997,146.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U749Z2,29,Tempo,19.59135,127.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U656Z2,30,Sídliště Krč,19.93018,139.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U893Z4,31,Zálesí,20.394170000000003,143.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U488Z7,32,Nemocnice Krč,20.947029999999998,203.0
333_1010_200307,Sunday,2020-05-03,333_1010_200307_03_May,U228Z5,33,Kačerov,22.31017,168.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U1502Z2,1,"Dolní Břežany,Náměstí",0.0,-133.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U1501Z2,2,"Dolní Břežany,Na kopečku",0.62157,-133.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U545Z2,3,Písnice,3.37885,10.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U546Z2,4,Ke Březině,3.75854,10.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U871Z2,5,Lipovická,3.95848,10.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U369Z2,6,Sídliště Písnice,4.46002,-8.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U783Z2,7,U Libušské sokolovny,4.93273,-8.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U335Z2,8,Libuš,5.30273,-8.0
333_671_200307,Sunday,2020-05-03,333_671_200307_03_May,U804Z2,9,U Zvoničky,5.6134,-26.0
